"","components(g)$membership"
"GCF_000379865.1_ASM37986v1_genomic.fna",48
"GCF_000381125.1_ASM38112v1_genomic.fna",57
"GCF_000381265.1_ASM38126v1_genomic.fna",58
"GCF_000382065.1_ASM38206v1_genomic.fna",59
"GCF_000401255.1_Xanthomonas_sp._97M_genomic.fna",60
"GCF_000402035.1_ASM40203v1_genomic.fna",61
"GCF_000418535.1_ASM41853v2_genomic.fna",19
"GCF_000419765.1_ASM41976v1_genomic.fna",62
"GCF_000420545.1_ASM42054v1_genomic.fna",63
"GCF_000421945.1_genome_genomic.fna",64
"GCF_000422305.1_ASM42230v1_genomic.fna",65
"GCF_000422885.1_ASM42288v1_genomic.fna",66
"GCF_000423325.1_ASM42332v1_genomic.fna",67
"GCF_000423885.1_ASM42388v1_genomic.fna",68
"GCF_000426285.1_ASM42628v1_genomic.fna",69
"GCF_000426365.1_ASM42636v1_genomic.fna",70
"GCF_000427465.1_ASM42746v1_genomic.fna",71
"GCF_000428465.1_ASM42846v1_genomic.fna",72
"GCF_000428665.1_ASM42866v1_genomic.fna",73
"GCF_000429065.1_ASM42906v1_genomic.fna",74
"GCF_000429845.1_ASM42984v1_genomic.fna",75
"GCF_000454545.1_20120625_genomic.fna",76
"GCF_000455325.1_Mycobacterium_septicum_DSM44393T_genomic.fna",77
"GCF_000472525.1_ASM47252v1_genomic.fna",78
"GCF_000472825.1_ASM47282v1_genomic.fna",79
"GCF_000473465.1_ASM47346v1_genomic.fna",80
"GCF_000473485.1_ASM47348v1_genomic.fna",81
"GCF_000482445.1_ASM48244v1_genomic.fna",82
"GCF_000484635.1_ASM48463v1_genomic.fna",83
"GCF_000488955.1_Xaf-CFBP3836-G1_genomic.fna",84
"GCF_000495275.1_Xag-CFBP2526-G1_genomic.fna",43
"GCF_000497265.2_ASM49726v2_genomic.fna",40
"GCF_000498435.1_ED16_genomic.fna",85
"GCF_000518585.1_ASM51858v1_genomic.fna",86
"GCF_000518645.1_ASM51864v1_genomic.fna",58
"GCF_000518785.1_ASM51878v1_genomic.fna",87
"GCF_000519185.1_ASM51918v1_genomic.fna",88
"GCF_000526915.1_ASM52691v1_genomic.fna",89
"GCF_000559025.1_Luteimonas_huabeiensis_HB-2_Genome_genomic.fna",90
"GCF_000559085.1_ASM55908v2_genomic.fna",91
"GCF_000576405.1_Wufong-1_genomic.fna",92
"GCF_000577275.2_LPU83_genomic.fna",93
"GCF_000590865.3_ASM59086v3_genomic.fna",94
"GCF_000597745.1_XMT-16JAN14_genomic.fna",95
"GCF_000612725.1_PRJEB5747_assembly_1_genomic.fna",7
"GCF_000612825.1_PRJEB5749_assembly_1_genomic.fna",96
"GCF_000613185.1_PRJEB5748_assembly_1_genomic.fna",97
"GCF_000613245.1_PRJEB5743_assembly_1_genomic.fna",98
"GCF_000621665.1_ASM62166v1_genomic.fna",99
"GCF_000661955.1_ASM66195v1_genomic.fna",100
"GCF_000667805.1_Myco_tube_H37Rv_V2_genomic.fna",27
"GCF_000684975.1_ASM68497v1_genomic.fna",101
"GCF_000685015.1_ASM68501v1_genomic.fna",102
"GCF_000685035.1_ASM68503v1_genomic.fna",103
"GCF_000685055.1_ASM68505v1_genomic.fna",104
"GCF_000685075.1_ASM68507v1_genomic.fna",105
"GCF_000685095.1_ASM68509v1_genomic.fna",106
"GCF_000687165.1_ASM68716v1_genomic.fna",22
"GCF_000688255.1_ASM68825v1_genomic.fna",107
"GCF_000689255.1_BN973_1_genomic.fna",108
"GCF_000691525.1_ATCC25795_good_1_paired_assembly_genomic.fna",109
"GCF_000696095.1_ASM69609v1_genomic.fna",110
"GCF_000697965.2_ASM69796v2_genomic.fna",111
"GCF_000698555.1_SOAPdenovo_v1.05_genomic.fna",112
"GCF_000698575.1_SOAPdenovo_v1.05_genomic.fna",113
"GCF_000698595.1_SOAPdenovo_v1.05_genomic.fna",114
"GCF_000705355.1_SOAPdenovo_for_version_1.05_of_Rhizobium_marinus_MGL06_genomic.fna",115
"GCF_000723385.1_PRJEB5746_assembly_1_genomic.fna",116
"GCF_000723405.1_HINTER_V1_genomic.fna",117
"GCF_000723725.1_XVIT_genomic.fna",43
"GCF_000724065.1_PRJEB1060_assembly_1_genomic.fna",109
"GCF_000730305.1_G1_genomic.fna",84
"GCF_000731315.1_RG540_Ch_pA_genomic.fna",118
"GCF_000732195.1_ASM73219v1_genomic.fna",119
"GCF_000732615.1_ASM73261v1_genomic.fna",120
"GCF_000739735.1_ASM73973v1_genomic.fna",121
"GCF_000739755.1_ASM73975v1_genomic.fna",122
"GCF_000739775.1_ASM73977v1_genomic.fna",123
"GCF_000739795.1_ASM73979v1_genomic.fna",124
"GCF_000739815.1_ASM73981v1_genomic.fna",79
"GCF_000739835.1_ASM73983v1_genomic.fna",125
"GCF_000739875.1_ASM73987v1_genomic.fna",126
"GCF_000739935.1_ASM73993v1_genomic.fna",127
"GCF_000739995.1_ASM73999v1_genomic.fna",128
"GCF_000740035.1_ASM74003v1_genomic.fna",41
"GCF_000743455.1_RPT_genomic.fna",129
"GCF_000743535.1_ASM74353v1_genomic.fna",130
"GCF_000745855.1_ASM74585v1_genomic.fna",131
"GCF_000747075.1_ASM74707v1_genomic.fna",132
"GCF_000747135.1_ASM74713v1_genomic.fna",63
"GCF_000747155.1_ASM74715v1_genomic.fna",133
"GCF_000747175.1_ASM74717v1_genomic.fna",70
"GCF_000756045.1_ASM75604v1_genomic.fna",6
"GCF_000759695.1_ASM75969v1_genomic.fna",134
"GCF_000767565.1_ASM76756v1_genomic.fna",73
"GCF_000767615.3_ASM76761v3_genomic.fna",135
"GCF_000768335.1_ASM76833v1_genomic.fna",136
"GCF_000768345.1_ASM76834v1_genomic.fna",137
"GCF_000768355.1_ASM76835v1_genomic.fna",138
"GCF_000769985.1_ASM76998v1_genomic.fna",67
"GCF_000770355.2_ASM77035v2_genomic.fna",139
"GCF_000770795.1_ASM77079v1_genomic.fna",140
"GCF_000772705.2_NCPPB2417v2_genomic.fna",139
"GCF_000774035.1_NCPPB3035v2_genomic.fna",141
"GCF_000785435.2_ASM78543v2_genomic.fna",142
"GCF_000788075.1_NCPPB381v2_genomic.fna",43
"GCF_000805385.1_ASM80538v1_genomic.fna",143
"GCF_000807775.2_ASM80777v2_genomic.fna",144
"GCF_000814845.2_ASM81484v2_genomic.fna",145
"GCF_000815105.2_ASM81510v2_genomic.fna",146
"GCF_000816845.1_ASM81684v1_genomic.fna",147
"GCF_000828895.1_ASM82889v1_genomic.fna",148
"GCF_000828915.1_ASM82891v1_genomic.fna",149
"GCF_000934605.2_ASM93460v2_genomic.fna",150
"GCF_000949865.1_ASM94986v1_genomic.fna",151
"GCF_000959365.1_ASM95936v1_genomic.fna",18
"GCF_000959445.1_ASM95944v1_genomic.fna",152
"GCF_000959525.1_ASM95952v1_genomic.fna",45
"GCF_000959545.1_ASM95954v1_genomic.fna",30
"GCF_000959725.1_ASM95972v1_genomic.fna",122
"GCF_000960995.1_ASM96099v1_genomic.fna",153
"GCF_000961515.1_ASM96151v1_genomic.fna",104
"GCF_000964545.1_ASM96454v1_genomic.fna",154
"GCF_000967425.1_ASM96742v1_genomic.fna",155
"GCF_000970345.1_ASM97034v1_genomic.fna",156
"GCF_000971805.1_ASM97180v1_genomic.fna",157
"GCF_000972785.3_ASM97278v3_genomic.fna",158
"GCF_000973625.1_ASM97362v1_genomic.fna",159
"GCF_000974705.1_ASM97470v1_genomic.fna",160
"GCF_000987075.1_ASM98707v1_genomic.fna",161
"GCF_001005215.1_ASM100521v1_genomic.fna",162
"GCF_001010415.1_ASM101041v1_genomic.fna",163
"GCF_001013475.1_ASM101347v1_genomic.fna",164
"GCF_001017775.3_ASM101777v3_genomic.fna",165
"GCF_001028175.1_ASM102817v1_genomic.fna",166
"GCF_001028665.1_ASM102866v1_genomic.fna",167
"GCF_001029105.3_ASM102910v3_genomic.fna",168
"GCF_001044235.1_ASM104423v1_genomic.fna",169
"GCF_001044245.1_ASM104424v1_genomic.fna",170
"GCF_001044255.1_ASM104425v1_genomic.fna",169
"GCF_001049355.1_M_aurum_genomic.fna",171
"GCF_001049515.1_Pandoraea_assembly_1_genomic.fna",172
"GCF_001050015.1_Mycobacterium_malmesburii_WCM_7299_genomic.fna",173
"GCF_001050035.1_Mycobacterium_komanii_GPK_1020_genomic.fna",174
"GCF_001053185.1_PRJEB5741_assembly_1_genomic.fna",175
"GCF_001182285.1_6998_1_15_genomic.fna",2
"GCF_001187535.1_ASM118753v1_genomic.fna",176
"GCF_001245615.1_Mycobacterium_neworleansense_assembly_1_genomic.fna",177
"GCF_001270065.2_ASM127006v2_genomic.fna",178
"GCF_001278535.1_ASM127853v1_genomic.fna",179
"GCF_001298675.1_Draft_Genome_genomic.fna",180
"GCF_001304695.1_XAXN-20feb14_genomic.fna",181
"GCF_001310775.1_ASM131077v1_genomic.fna",182
"GCF_001401555.1_Xeu_LMG27970_genomic.fna",84
"GCF_001401595.1_Xaa_LMG982_genomic.fna",181
"GCF_001401605.1_Xff_LMG826_genomic.fna",43
"GCF_001401655.1_Xcc_LMG9322_genomic.fna",43
"GCF_001402235.1_Xad_LMG695_genomic.fna",141
"GCF_001411495.1_ASM141149v1_genomic.fna",81
"GCF_001411805.1_ASM141180v1_genomic.fna",183
"GCF_001418295.1_ASM141829v1_genomic.fna",154
"GCF_001431405.1_ASM143140v1_genomic.fna",184
"GCF_001431415.1_ASM143141v1_genomic.fna",185
"GCF_001431425.1_ASM143142v1_genomic.fna",186
"GCF_001431465.1_ASM143146v1_genomic.fna",187
"GCF_001431485.1_ASM143148v1_genomic.fna",188
"GCF_001431505.1_ASM143150v1_genomic.fna",189
"GCF_001431525.1_ASM143152v1_genomic.fna",190
"GCF_001431535.1_ASM143153v1_genomic.fna",191
"GCF_001431565.1_ASM143156v1_genomic.fna",192
"GCF_001431585.1_ASM143158v1_genomic.fna",182
"GCF_001431595.1_ASM143159v1_genomic.fna",193
"GCF_001431645.1_ASM143164v1_genomic.fna",194
"GCF_001431665.1_ASM143166v1_genomic.fna",195
"GCF_001431675.1_ASM143167v1_genomic.fna",196
"GCF_001442535.1_ASM144253v1_genomic.fna",197
"GCF_001449005.1_ASM144900v1_genomic.fna",198
"GCF_001456355.1_ASM145635v1_genomic.fna",199
"GCF_001457595.1_NCTC8159_genomic.fna",200
"GCF_001461695.1_ASM146169v1_genomic.fna",201
"GCF_001465545.3_ASM146554v3_genomic.fna",202
"GCF_001465595.2_ASM146559v2_genomic.fna",172
"GCF_001482195.1_ASM148219v1_genomic.fna",203
"GCF_001482665.1_ASM148266v1_genomic.fna",141
"GCF_001515365.1_ASM151536v1_genomic.fna",204
"GCF_001517325.1_JGI_assembly_genomic.fna",154
"GCF_001522135.2_ASM152213v2_genomic.fna",18
"GCF_001528845.1_ASM152884v1_genomic.fna",81
"GCF_001541305.1_ASM154130v1_genomic.fna",64
"GCF_001541315.1_ASM154131v1_genomic.fna",64
"GCF_001541345.2_ASM154134v2_genomic.fna",205
"GCF_001542405.1_ASM154240v1_genomic.fna",206
"GCF_001544075.1_ASM154407v1_genomic.fna",207
"GCF_001544155.1_ASM154415v1_genomic.fna",129
"GCF_001544475.1_ASM1544475v2_genomic.fna",208
"GCF_001544495.1_ASM1544495v2_genomic.fna",209
"GCF_001544515.1_ASM1544515v2_genomic.fna",210
"GCF_001544535.1_ASM1544535v2_genomic.fna",211
"GCF_001544555.2_Burkholderia_udeis_LMG_27134_genomic.fna",212
"GCF_001544575.2_ASM154457v2_genomic.fna",179
"GCF_001544615.1_ASM154461v2_genomic.fna",213
"GCF_001544695.2_ASM154469v2_genomic.fna",214
"GCF_001544755.2_ASM154475v2_genomic.fna",215
"GCF_001544795.2_Burkholderia_sp._LMG_29319_genomic.fna",216
"GCF_001544835.2_Burkholderia_sp._LMG_29320_genomic.fna",217
"GCF_001544875.2_Burkholderia_sp._LMG_29322_genomic.fna",218
"GCF_001544915.2_ASM154491v2_genomic.fna",219
"GCF_001544975.2_ASM154497v2_genomic.fna",220
"GCF_001545035.1_ASM154503v2_genomic.fna",221
"GCF_001545075.1_ASM154507v2_genomic.fna",222
"GCF_001552315.1_ASM155231v1_genomic.fna",169
"GCF_001552715.1_ASM155271v1_genomic.fna",223
"GCF_001564415.1_ASM156441v1_genomic.fna",141
"GCF_001570425.1_ASM157042v1_genomic.fna",224
"GCF_001570445.1_ASM157044v1_genomic.fna",225
"GCF_001570465.1_ASM157046v1_genomic.fna",46
"GCF_001570485.1_ASM157048v1_genomic.fna",226
"GCF_001570505.1_ASM157050v1_genomic.fna",39
"GCF_001571145.1_ASM157114v1_genomic.fna",227
"GCF_001571205.1_ASM157120v1_genomic.fna",117
"GCF_001571225.1_ASM157122v1_genomic.fna",228
"GCF_001571325.1_ASM157132v1_genomic.fna",229
"GCF_001580545.1_ASM158054v1_genomic.fna",230
"GCF_001582015.1_ASM158201v1_genomic.fna",231
"GCF_001583415.1_ASM158341v1_genomic.fna",231
"GCF_001591205.1_ASM159120v1_genomic.fna",95
"GCF_001591345.1_ASM159134v1_genomic.fna",232
"GCF_001591365.1_ASM159136v1_genomic.fna",233
"GCF_001591385.1_ASM159138v1_genomic.fna",234
"GCF_001592245.1_ASM159224v1_genomic.fna",235
"GCF_001592265.1_ASM159226v1_genomic.fna",236
"GCF_001592285.1_ASM159228v1_genomic.fna",237
"GCF_001592305.1_ASM159230v1_genomic.fna",238
"GCF_001595965.1_ASM159596v1_genomic.fna",239
"GCF_001595985.1_ASM159598v1_genomic.fna",240
"GCF_001598055.1_ASM159805v1_genomic.fna",241
"GCF_001598235.1_ASM159823v1_genomic.fna",242
"GCF_001598755.1_ASM159875v1_genomic.fna",37
"GCF_001598795.1_ASM159879v1_genomic.fna",229
"GCF_001605725.1_ASM160572v1_genomic.fna",243
"GCF_001632805.1_ASM163280v1_genomic.fna",157
"GCF_001640105.1_ASM164010v1_genomic.fna",244
"GCF_001642575.1_Xfloridensis_v1.0_genomic.fna",245
"GCF_001645125.1_ASM164512v1_genomic.fna",246
"GCF_001645135.1_ASM164513v1_genomic.fna",246
"GCF_001651855.1_ASM165185v1_genomic.fna",247
"GCF_001651865.1_ASM165186v1_genomic.fna",248
"GCF_001651875.1_ASM165187v1_genomic.fna",249
"GCF_001655245.1_ASM165524v1_genomic.fna",223
"GCF_001659725.1_ASM165972v1_genomic.fna",250
"GCF_001660815.1_Xnasturtii_v1.0_genomic.fna",251
"GCF_001687365.1_ASM168736v1_genomic.fna",252
"GCF_001723275.1_ASM172327v1_genomic.fna",253
"GCF_001742165.1_ASM174216v1_genomic.fna",254
"GCF_001758385.2_ASM175838v2_genomic.fna",161
"GCF_001761385.1_ASM176138v1_genomic.fna",244
"GCF_001792615.1_ASM179261v1_genomic.fna",40
"GCF_001792625.1_ASM179262v1_genomic.fna",40
"GCF_001854325.1_ASM185432v1_genomic.fna",255
"GCF_001865575.1_ASM186557v1_genomic.fna",80
"GCF_001885585.1_ASM188558v1_genomic.fna",256
"GCF_001908725.1_ASM190872v1_genomic.fna",24
"GCF_001931675.1_ASM193167v1_genomic.fna",165
"GCF_001931685.1_ASM193168v1_genomic.fna",257
"GCF_001938095.1_ASM193809v1_genomic.fna",19
"GCF_001938565.1_ASM193856v1_genomic.fna",258
"GCF_001938945.1_ASM193894v1_genomic.fna",259
"GCF_001938985.1_ASM193898v1_genomic.fna",260
"GCF_001939045.1_ASM193904v1_genomic.fna",261
"GCF_001942505.1_ASM194250v1_genomic.fna",40
"GCF_001942545.1_ASM194254v1_genomic.fna",157
"GCF_001942625.1_ASM194262v1_genomic.fna",262
"GCF_001953355.1_ASM195335v1_genomic.fna",263
"GCF_001955715.1_ASM195571v1_genomic.fna",85
"GCF_001955735.1_ASM195573v1_genomic.fna",258
"GCF_001997185.1_ASM199718v1_genomic.fna",95
"GCF_002000045.1_ASM200004v1_genomic.fna",155
"GCF_002008165.1_ASM200816v1_genomic.fna",264
"GCF_002008215.1_ASM200821v1_genomic.fna",64
"GCF_002008225.1_ASM200822v1_genomic.fna",265
"GCF_002008275.1_ASM200827v1_genomic.fna",266
"GCF_002008365.1_ASM200836v1_genomic.fna",267
"GCF_002013555.1_ASM201355v1_genomic.fna",243
"GCF_002013685.1_ASM201368v1_genomic.fna",268
"GCF_002013835.1_ASM201383v1_genomic.fna",40
"GCF_002013895.1_ASM201389v1_genomic.fna",269
"GCF_002017865.1_ASM201786v1_genomic.fna",270
"GCF_002018575.1_ASM201857v1_genomic.fna",43
"GCF_002019125.1_ASM201912v1_genomic.fna",43
"GCF_002019225.1_ASM201922v1_genomic.fna",43
"GCF_002071575.1_Ppe8_genomic.fna",271
"GCF_002078505.1_ASM207850v1_genomic.fna",272
"GCF_002086115.1_ASM208611v1_genomic.fna",273
"GCF_002086125.1_ASM208612v1_genomic.fna",274
"GCF_002086155.1_ASM208615v1_genomic.fna",275
"GCF_002086165.1_ASM208616v1_genomic.fna",21
"GCF_002086175.1_ASM208617v1_genomic.fna",276
"GCF_002086215.1_ASM208621v1_genomic.fna",277
"GCF_002086225.1_ASM208622v1_genomic.fna",269
"GCF_002086275.1_ASM208627v1_genomic.fna",278
"GCF_002086285.1_ASM208628v1_genomic.fna",279
"GCF_002086335.1_ASM208633v1_genomic.fna",280
"GCF_002086345.1_ASM208634v1_genomic.fna",281
"GCF_002086375.1_ASM208637v1_genomic.fna",40
"GCF_002086395.1_ASM208639v1_genomic.fna",282
"GCF_002086405.1_ASM208640v1_genomic.fna",283
"GCF_002086415.1_ASM208641v1_genomic.fna",284
"GCF_002086455.1_ASM208645v1_genomic.fna",34
"GCF_002086475.1_ASM208647v1_genomic.fna",285
"GCF_002086485.1_ASM208648v1_genomic.fna",286
"GCF_002086515.1_ASM208651v1_genomic.fna",287
"GCF_002086525.1_ASM208652v1_genomic.fna",40
"GCF_002086545.1_ASM208654v1_genomic.fna",98
"GCF_002086575.1_ASM208657v1_genomic.fna",288
"GCF_002086595.1_ASM208659v1_genomic.fna",169
"GCF_002086635.1_ASM208663v1_genomic.fna",289
"GCF_002086655.1_ASM208665v1_genomic.fna",290
"GCF_002086675.1_ASM208667v1_genomic.fna",291
"GCF_002086695.1_ASM208669v1_genomic.fna",292
"GCF_002086715.1_ASM208671v1_genomic.fna",199
"GCF_002086735.1_ASM208673v1_genomic.fna",293
"GCF_002086755.1_ASM208675v1_genomic.fna",294
"GCF_002086775.1_ASM208677v1_genomic.fna",21
"GCF_002086795.1_ASM208679v1_genomic.fna",295
"GCF_002086815.1_ASM208681v1_genomic.fna",296
"GCF_002097715.1_ASM209771v1_genomic.fna",297
"GCF_002099195.1_ASM209919v1_genomic.fna",298
"GCF_002101555.1_ASM210155v1_genomic.fna",225
"GCF_002101575.1_ASM210157v1_genomic.fna",19
"GCF_002101585.1_ASM210158v1_genomic.fna",299
"GCF_002101595.1_ASM210159v1_genomic.fna",160
"GCF_002101635.1_ASM210163v1_genomic.fna",300
"GCF_002101655.1_ASM210165v1_genomic.fna",299
"GCF_002101665.1_ASM210166v1_genomic.fna",243
"GCF_002101675.1_ASM210167v1_genomic.fna",301
"GCF_002101705.1_ASM210170v1_genomic.fna",302
"GCF_002101735.1_ASM210173v1_genomic.fna",134
"GCF_002101745.1_ASM210174v1_genomic.fna",303
"GCF_002101775.1_ASM210177v1_genomic.fna",304
"GCF_002101785.1_ASM210178v1_genomic.fna",305
"GCF_002101815.1_ASM210181v1_genomic.fna",306
"GCF_002101845.1_ASM210184v1_genomic.fna",307
"GCF_002101875.1_ASM210187v1_genomic.fna",308
"GCF_002101885.1_ASM210188v1_genomic.fna",309
"GCF_002101955.1_ASM210195v1_genomic.fna",310
"GCF_002101965.1_ASM210196v1_genomic.fna",311
"GCF_002101995.1_ASM210199v1_genomic.fna",312
"GCF_002102015.1_ASM210201v1_genomic.fna",313
"GCF_002102025.1_ASM210202v1_genomic.fna",175
"GCF_002102055.1_ASM210205v1_genomic.fna",157
"GCF_002102065.1_ASM210206v1_genomic.fna",116
"GCF_002102095.1_ASM210209v1_genomic.fna",314
"GCF_002102105.1_ASM210210v1_genomic.fna",315
"GCF_002102115.1_ASM210211v1_genomic.fna",316
"GCF_002102155.1_ASM210215v1_genomic.fna",317
"GCF_002102175.1_ASM210217v1_genomic.fna",318
"GCF_002102185.1_ASM210218v1_genomic.fna",319
"GCF_002102215.1_ASM210221v1_genomic.fna",320
"GCF_002102255.1_ASM210225v1_genomic.fna",321
"GCF_002102265.1_ASM210226v1_genomic.fna",322
"GCF_002102335.1_ASM210233v1_genomic.fna",323
"GCF_002102345.1_ASM210234v1_genomic.fna",324
"GCF_002102355.1_ASM210235v1_genomic.fna",325
"GCF_002102395.1_ASM210239v1_genomic.fna",326
"GCF_002102415.1_ASM210241v1_genomic.fna",108
"GCF_002104675.1_ASM210467v1_genomic.fna",327
"GCF_002104735.1_ASM210473v1_genomic.fna",19
"GCF_002104765.1_ASM210476v1_genomic.fna",328
"GCF_002104795.1_ASM210479v1_genomic.fna",329
"GCF_002105755.1_ASM210575v1_genomic.fna",38
"GCF_002116635.1_ASM211663v1_genomic.fna",330
"GCF_002157145.1_ASM215714v1_genomic.fna",331
"GCF_002157835.1_ASM215783v1_genomic.fna",332
"GCF_002158865.1_ASM215886v1_genomic.fna",333
"GCF_002191955.1_ASM219195v1_genomic.fna",139
"GCF_002192535.1_ASM219253v1_genomic.fna",334
"GCF_002204185.1_ASM220418v1_genomic.fna",335
"GCF_002205845.1_ASM220584v1_genomic.fna",336
"GCF_002206625.1_ASM220662v1_genomic.fna",337
"GCF_002206635.1_ASM220663v1_genomic.fna",338
"GCF_002214645.1_ASM221464v1_genomic.fna",339
"GCF_002218265.1_ASM221826v1_genomic.fna",43
"GCF_002219285.1_ASM221928v1_genomic.fna",19
"GCF_002224225.1_ASM222422v1_genomic.fna",340
"GCF_002245535.1_ASM224553v1_genomic.fna",341
"GCF_002245615.1_ASM224561v1_genomic.fna",341
"GCF_002245625.1_ASM224562v1_genomic.fna",342
"GCF_002250655.1_ASM225065v1_genomic.fna",343
"GCF_002251695.1_ASM225169v1_genomic.fna",344
"GCF_002278075.1_ASM227807v1_genomic.fna",345
"GCF_002288525.1_ASM228852v1_genomic.fna",42
"GCF_002327105.1_ASM232710v1_genomic.fna",346
"GCF_002356315.1_ASM235631v1_genomic.fna",347
"GCF_002356335.1_ASM235633v1_genomic.fna",348
"GCF_002362295.1_ASM236229v1_genomic.fna",297
"GCF_002531855.1_ASM253185v1_genomic.fna",349
"GCF_002531935.1_ASM253193v1_genomic.fna",350
"GCF_002553505.1_ASM255350v1_genomic.fna",351
"GCF_002591975.1_ASM259197v1_genomic.fna",352
"GCF_002592005.1_ASM259200v1_genomic.fna",353
"GCF_002688625.1_ASM268862v1_genomic.fna",43
"GCF_002705925.1_ASM270592v1_genomic.fna",354
"GCF_002750855.1_ASM275085v1_genomic.fna",355
"GCF_002750975.1_ASM275097v1_genomic.fna",356
"GCF_002803515.1_ASM280351v1_genomic.fna",357
"GCF_002837135.1_ASM283713v1_genomic.fna",358
"GCF_002846205.1_ASM284620v1_genomic.fna",359
"GCF_002879855.1_ASM287985v1_genomic.fna",360
"GCF_002879865.1_ASM287986v1_genomic.fna",361
"GCF_002879875.1_ASM287987v1_genomic.fna",362
"GCF_002879885.1_ASM287988v1_genomic.fna",363
"GCF_002895945.1_ASM289594v1_genomic.fna",364
"GCF_002896715.1_ASM289671v1_genomic.fna",365
"GCF_002902925.1_ASM290292v1_genomic.fna",125
"GCF_002902945.1_ASM290294v1_genomic.fna",198
"GCF_002902965.1_ASM290296v1_genomic.fna",125
"GCF_002914525.1_ASM291452v1_genomic.fna",349
"GCF_002915175.1_ASM291517v1_genomic.fna",366
"GCF_002917095.1_ASM291709v1_genomic.fna",367
"GCF_002927045.1_ASM292704v1_genomic.fna",368
"GCF_002930615.1_ASM293061v1_genomic.fna",369
"GCF_002933415.1_ASM293341v1_genomic.fna",370
"GCF_002934455.1_ASM293445v1_genomic.fna",371
"GCF_002939705.1_ASM293970v1_genomic.fna",372
"GCF_002939755.1_XbrCFBP1976_genomic.fna",373
"GCF_002939865.1_ASM293986v1_genomic.fna",374
"GCF_002939885.1_ASM293988v1_genomic.fna",375
"GCF_002939895.1_ASM293989v1_genomic.fna",376
