## miComplete
## v1.1.1
## Weights:	/home/agrega/micomplete/lib/python3.8/site-packages/micomplete/share/Bact105.weights
## Weights Standard deviation:	0.13917826966028532
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Weighted completeness	Weighted redundancy	Contigs	N50	L50	N90	L90	CDs	
GCF_0001721151_ASM17211v1_genomic	5328562	67.96	104	0.9905	1.0192	0.9784	1.0227	353	31468	49	7809	179	5284	
GCF_0001740351_ASM17403v1_genomic	4857995	69.23	102	0.9714	1.0196	0.9829	1.0358	258	45689	25	10948	114	4733	
GCF_0001724151_ASM17241v1_genomic	7477263	62.87	88	0.8381	1.0341	0.9651	1.0291	70	196368	9	47544	33	6738	
GCF_0001864251_ASM18642v1_genomic	3151925	65.27	104	0.9905	1.0000	0.9918	1.0	8	3142220	1	3142220	1	2546	
GCF_0001768552_ASM17685v2_genomic	5482170	68.82	104	0.9905	1.0096	0.9884	1.0008	1	5482170	1	5482170	1	4788	
GCF_0001920251_ASM19202v1_genomic	5531089	64.05	104	0.9905	1.0769	0.9918	1.1019	296	41380	38	10876	134	4940	
GCF_0001932251_ASM19322v1_genomic	4681801	65.61	102	0.9714	1.0490	0.9681	1.0508	1082	12303	119	2141	442	5017	
GCF_0001920651_ASM19206v1_genomic	5528124	63.66	105	1.0000	1.0667	1.0	1.0781	552	22686	82	5504	268	5099	
GCF_0001959552_ASM19595v2_genomic	4411532	65.61	104	0.9905	1.0288	0.9918	1.0224	1	4411532	1	4411532	1	4085	
GCF_0001960151_ASM19601v1_genomic	6913352	63.53	105	1.0000	1.0667	1.0	1.0627	4	3928089	1	2580084	2	6364	
GCF_0001987751_ASM19877v1_genomic	3750138	60.71	104	0.9905	1.0096	1.0	1.0151	3	2755309	1	822304	2	3338	
GCF_0002039151_ASM20391v1_genomic	7528567	66.77	105	1.0000	1.0190	1.0	1.0159	4	2646969	2	1281472	3	6609	
GCF_0002041951_ASM20419v1_genomic	5530232	64.86	103	0.9810	1.0000	0.9802	1.0	30	689800	4	165409	12	5055	
GCF_0002118351_ASM21183v1_genomic	3618708	65.08	104	0.9905	1.0096	0.9918	1.0008	115	75394	15	22089	50	3328	
GCF_0002046451_ASM20464v1_genomic	5070751	67.9	105	1.0000	1.0286	1.0	1.0451	2	4995263	1	4995263	1	4797	
GCF_0002141551_ASM21415v1_genomic	4643668	68.37	105	1.0000	1.0000	1.0	1.0	1	4643668	1	4643668	1	4356	
GCF_0002157051_ASM21570v1_genomic	4070193	70.0	104	0.9905	1.0192	0.9884	1.0008	1	4070193	1	4070193	1	3917	
GCF_0002141751_ASM21417v1_genomic	4863490	62.24	103	0.9810	1.0388	0.9916	1.0481	3	4738809	1	4738809	1	4561	
GCF_0002221053_ASM22210v4_genomic	5579559	68.08	103	0.9810	1.0291	0.9916	1.0356	17	745349	3	398237	7	5214	
GCF_0002345851_ASM23458v1_genomic	4870742	69.02	105	1.0000	1.0000	1.0	1.0	56	235303	3	45628	21	4620	
GCF_0002192151_ASM21921v1_genomic	8480857	65.47	104	0.9905	1.0673	0.9918	1.0642	4	2684606	2	1499175	3	7814	
GCF_0002390351_ASM23903v2_genomic	5048007	64.07	105	1.0000	1.0286	1.0	1.0353	22	463227	4	165170	11	4924	
GCF_0002390551_ASM23905v2_genomic	4969787	64.09	104	0.9905	1.0288	0.9918	1.0356	18	556014	4	152013	13	4912	
GCF_0002415251_ASM24152v2_genomic	5410155	61.48	105	1.0000	1.0381	1.0	1.0176	63	250929	8	72205	23	4903	
GCF_0002633351_XALMG941_genomic	5111537	64.84	105	1.0000	1.0286	1.0	1.0361	195	67371	24	16920	81	4400	
GCF_0002614851_05684_genomic	5964336	62.03	104	0.9905	1.0096	0.9918	1.0122	231	61030	29	16404	95	5705	
GCF_0002706651_ASM27066v1_genomic	5195205	64.12	104	0.9905	1.0385	0.9918	1.0559	5	2849228	1	437303	3	5097	
GCF_0002777352_ASM27773v2_genomic	4411709	65.62	104	0.9905	1.0288	0.9918	1.0224	1	4411709	1	4411709	1	4079	
GCF_0002768251_ASM27682v1_genomic	5501090	68.07	105	1.0000	1.0190	1.0	1.0222	1	5501090	1	5501090	1	5157	
GCF_0002771251_ASM27712v1_genomic	5402402	68.1	105	1.0000	1.0190	1.0	1.0222	1	5402402	1	5402402	1	5036	
GCF_0002829951_CRZ1_genomic	3007775	69.41	103	0.9810	1.0485	0.9802	1.043	836	6152	148	1839	486	3351	
GCF_0002857751_ASM28577v1_genomic	4946642	64.86	105	1.0000	1.0190	1.0	1.0361	217	45854	34	13805	106	4256	
GCF_0002865551_gbmulcf1v10_genomic	6197304	67.11	104	0.9905	1.0096	0.9918	1.0008	590	17154	114	5576	352	5920	
GCF_0003257451_ASM32574v1_genomic	1504659	35.36	104	0.9905	1.0000	0.9814	1.0	1	1504659	1	1504659	1	1357	
GCF_0002958551_ASM29585v1_genomic	6349738	65.69	104	0.9905	1.0288	0.9932	1.0392	82	159889	12	44944	42	6198	
GCF_0002983152_ASM29831v2_genomic	7146037	59.44	105	1.0000	1.0286	1.0	1.0578	80	343668	9	94070	24	7030	
GCF_0003003751_ASM30037v1_genomic	5000164	69.45	104	0.9905	1.0096	0.9918	1.0257	169	47696	30	15373	98	4843	
GCF_0003317751_ASM33177v1_genomic	4463577	67.64	105	1.0000	1.0095	1.0	1.0151	551	13041	100	3859	343	4115	
GCF_0003404352_ASM34043v3_genomic	4235765	63.95	104	0.9905	1.0096	0.9918	1.0052	1	4235765	1	4235765	1	4014	
GCF_0003308851_ASM33088v1_genomic	6686334	59.49	105	1.0000	1.0286	1.0	1.0376	4	3837060	1	549467	3	6360	
GCF_0003597451_Rhizobium_sp_genomic	7083871	59.93	105	1.0000	1.0286	1.0	1.0121	96	246360	9	60603	30	6658	
GCF_0003746251_ASM37462v1_genomic	2503561	63.54	104	0.9905	1.0096	0.9884	1.0008	35	173231	4	50511	13	2382	
GCF_0003725251_ASM37252v1_genomic	6771773	67.21	105	1.0000	1.0190	1.0	1.0008	107	155095	12	45259	41	6120	
GCF_0003811251_ASM38112v1_genomic	3532116	65.95	105	1.0000	1.0095	1.0	1.0008	89	92346	12	24327	41	3414	
GCF_0003798651_ASM37986v1_genomic	5082325	69.37	104	0.9905	1.0000	0.9918	1.0	99	145120	13	34931	42	4882	
GCF_0003796051_ASM37960v1_genomic	6810126	60.65	105	1.0000	1.0381	1.0	1.0376	190	311841	8	65419	26	6611	
GCF_0003820651_ASM38206v1_genomic	4424025	66.41	105	1.0000	1.0190	1.0	1.0151	14	805881	3	254295	7	3998	
GCF_0004012551_Xanthomonas_sp_97M_genomic	4965572	66.62	100	0.9524	1.1000	0.989	1.1019	1285	8592	162	1687	642	4895	
GCF_0003812651_ASM38126v1_genomic	6832523	65.54	103	0.9810	1.0194	0.9802	1.0179	72	288288	8	71680	29	6287	
GCF_0004020351_ASM40203v1_genomic	6964487	63.15	105	1.0000	1.0190	1.0	1.0159	5	1465356	2	900830	4	6329	
GCF_0004205451_ASM42054v1_genomic	3091755	65.65	105	1.0000	1.0190	1.0	1.0152	25	764856	2	178866	6	2880	
GCF_0004185351_ASM41853v2_genomic	5662088	67.9	105	1.0000	1.0381	1.0	1.0355	3	5521023	1	5521023	1	5260	
GCF_0004223051_ASM42230v1_genomic	3416011	68.46	105	1.0000	1.0286	1.0	1.0152	18	510129	3	216609	7	3044	
GCF_0004197651_ASM41976v1_genomic	7166346	59.45	105	1.0000	1.0286	1.0	1.0338	96	300544	9	37399	33	7146	
GCF_0004219451_genome_genomic	7178893	59.84	70	0.6667	1.5429	0.7077	1.6195	612	23925	73	6203	300	6999	
GCF_0004233251_ASM42332v1_genomic	2722122	70.31	105	1.0000	1.0000	1.0	1.0	12	309919	4	256634	7	2528	
GCF_0004238851_ASM42388v1_genomic	3151451	67.89	105	1.0000	1.0190	1.0	1.0151	52	127645	10	33332	26	2924	
GCF_0004263651_ASM42636v1_genomic	3159341	70.76	104	0.9905	1.0000	0.9884	1.0	29	544267	3	72852	9	2830	
GCF_0004228851_ASM42288v1_genomic	7048723	58.55	104	0.9905	1.0192	0.9884	1.0177	79	263608	8	38027	36	6513	
GCF_0004262851_ASM42628v1_genomic	6679728	59.36	104	0.9905	1.0769	0.9814	1.0622	98	214708	10	34785	39	6472	
GCF_0004286651_ASM42866v1_genomic	2416255	51.6	105	1.0000	1.0000	1.0	1.0	58	106692	7	26190	20	2321	
GCF_0004274651_ASM42746v1_genomic	6850303	62.02	104	0.9905	1.0192	0.9998	1.0252	7	3676556	1	685926	4	6322	
GCF_0004290651_ASM42906v1_genomic	2647044	71.02	105	1.0000	1.0190	1.0	1.0151	21	321550	3	54874	9	2392	
GCF_0004284651_ASM42846v1_genomic	5586102	68.74	105	1.0000	1.0190	1.0	1.0129	39	507313	5	88951	15	4550	
GCF_0004298451_ASM42984v1_genomic	4634066	63.26	105	1.0000	1.0190	1.0	1.0008	55	251975	7	43919	25	4085	
GCF_0004545451_20120625_genomic	5270756	65.13	104	0.9905	1.0192	0.9884	1.0153	7	5197712	1	5197712	1	4701	
GCF_0004725251_ASM47252v1_genomic	7679067	61.77	105	1.0000	1.0190	1.0	1.0159	140	132412	16	32929	59	7055	
GCF_0004553251_Mycobacterium_septicum_DSM44393T_genomic	6908835	66.37	104	0.9905	1.0385	0.9778	1.0398	7	4209572	1	965587	3	6625	
GCF_0004728251_ASM47282v1_genomic	8410967	63.88	105	1.0000	1.0476	1.0	1.0745	268	124968	18	15365	91	7793	
GCF_0004734651_ASM47346v1_genomic	7761063	63.18	105	1.0000	1.0190	1.0	1.0159	8	2044220	2	839946	4	7090	
GCF_0004824451_ASM48244v1_genomic	4285634	63.63	105	1.0000	1.0190	1.0	1.0151	264	33415	44	8154	141	4071	
GCF_0004846351_ASM48463v1_genomic	3681020	65.96	105	1.0000	1.0000	1.0	1.0	24	474156	3	105097	9	3490	
GCF_0004734851_ASM47348v1_genomic	8612710	66.55	105	1.0000	1.0286	1.0	1.0159	4	3405813	2	1197237	3	7795	
GCF_0004889551_Xaf-CFBP3836-G1_genomic	5079432	64.72	105	1.0000	1.0286	1.0	1.0361	6	5039408	1	5039408	1	4248	
GCF_0004952751_Xag-CFBP2526-G1_genomic	5253236	64.6	105	1.0000	1.0190	1.0	1.0151	4	5221300	1	5221300	1	4482	
GCF_0004984351_ED16_genomic	4249393	60.94	103	0.9810	1.0388	0.9802	1.0376	70	105301	12	36773	39	4040	
GCF_0004972652_ASM49726v2_genomic	4978382	64.09	104	0.9905	1.0288	0.9918	1.0356	1	4978382	1	4978382	1	4917	
GCF_0005185851_ASM51858v1_genomic	5163333	57.19	105	1.0000	1.0000	1.0	1.0	74	152898	10	31718	38	4910	
GCF_0005186451_ASM51864v1_genomic	6748240	65.98	103	0.9810	1.0194	0.9802	1.0289	73	262923	8	55080	30	6077	
GCF_0005187851_ASM51878v1_genomic	4976687	63.49	104	0.9905	1.0096	0.9998	1.0255	29	500130	4	125287	13	4717	
GCF_0005269151_ASM52691v1_genomic	4936071	66.92	105	1.0000	1.0095	1.0	1.0002	25	465365	4	102323	14	5375	
GCF_0005590251_Luteimonas_huabeiensis_HB-2_Genome_genomic	4295921	71.62	105	1.0000	1.0190	1.0	1.0151	86	150227	10	55560	28	3859	
GCF_0005764051_Wufong-1_genomic	2733013	53.04	105	1.0000	1.0095	1.0	1.0151	85	121234	9	23925	28	2795	
GCF_0005191851_ASM51918v1_genomic	9627966	64.07	105	1.0000	1.0571	1.0	1.0631	113	195270	15	50704	52	8775	
GCF_0005908653_ASM59086v3_genomic	1230251	36.41	102	0.9714	1.0000	0.9808	1.0	1	1230251	1	1230251	1	1097	
GCF_0005590851_ASM55908v2_genomic	6297623	66.41	104	0.9905	1.0096	0.9998	1.0131	6	5494915	1	444037	2	6130	
GCF_0005977451_XMT-16JAN14_genomic	4881556	66.15	103	0.9810	1.0194	0.9993	1.0152	306	41743	31	11323	115	4632	
GCF_0005772752_LPU83_genomic	7569648	59.65	103	0.9810	1.0291	0.9813	1.0383	62	4195305	1	759787	3	7694	
GCF_0006127251_PRJEB5747_assembly_1_genomic	6770972	66.8	104	0.9905	1.0288	0.9998	1.039	20	718256	4	200089	10	6425	
GCF_0006128251_PRJEB5749_assembly_1_genomic	7966608	66.95	104	0.9905	1.0481	0.9918	1.0617	6	4503241	1	607609	4	7691	
GCF_0006216651_ASM62166v1_genomic	4133860	59.32	103	0.9810	1.0097	0.9813	1.0239	49	170604	7	56094	22	3724	
GCF_0006131851_PRJEB5748_assembly_1_genomic	6462090	68.24	105	1.0000	1.0286	1.0	1.0324	5	2465234	2	758788	3	6281	
GCF_0006132451_PRJEB5743_assembly_1_genomic	5938932	65.99	105	1.0000	1.0095	1.0	1.022	10	1878264	2	670019	4	5603	
GCF_0006619551_ASM66195v1_genomic	4648976	67.26	105	1.0000	1.0286	1.0	1.0361	1	4648976	1	4648976	1	4032	
GCF_0006678051_Myco_tube_H37Rv_V2_genomic	4412618	64.99	104	0.9905	1.0192	0.9918	1.0224	7	3937739	1	461553	2	4074	
GCF_0006849751_ASM68497v1_genomic	6475434	65.2	105	1.0000	1.0381	1.0	1.0412	64	204381	10	87932	29	5856	
GCF_0006850151_ASM68501v1_genomic	8648774	63.96	105	1.0000	1.0286	1.0	1.0414	102	258097	10	50668	43	7664	
GCF_0006850351_ASM68503v1_genomic	7938642	64.81	105	1.0000	1.0667	1.0	1.0801	97	223725	11	52631	39	7256	
GCF_0006850551_ASM68505v1_genomic	8696214	61.83	105	1.0000	1.0286	1.0	1.0161	124	181342	16	50512	46	8026	
GCF_0006871651_ASM68716v1_genomic	5526777	68.73	104	0.9905	1.0096	0.9884	1.0008	69	212027	10	48664	31	4886	
GCF_0006850751_ASM68507v1_genomic	10647665	64.13	105	1.0000	1.0571	1.0	1.0545	313	82086	38	20170	139	9629	
GCF_0006850951_ASM68509v1_genomic	7282355	61.96	105	1.0000	1.0190	1.0	1.0159	75	377298	7	61177	26	6603	
GCF_0006882551_ASM68825v1_genomic	3600773	61.46	104	0.9905	1.0000	0.9884	1.0	38	204299	6	49752	19	3311	
GCF_0006915251_ATCC25795_good_1_paired_assembly_genomic	5468381	66.68	105	1.0000	1.0286	1.0	1.039	42	363199	6	83405	18	5208	
GCF_0006892551_BN973_1_genomic	6382840	66.57	105	1.0000	1.0286	1.0	1.0374	4	5893857	1	5893857	1	6004	
GCF_0006960951_ASM69609v1_genomic	7044473	59.91	105	1.0000	1.0476	1.0	1.0582	53	475718	7	107464	19	6599	
GCF_0006979652_ASM69796v2_genomic	7267502	62.32	104	0.9905	1.0288	0.9998	1.0396	3	4071185	1	1459374	3	6840	
GCF_0007053551_SOAPdenovo_for_version_105_of_Rhizobium_marinus_MGL06_genomic	5061979	63.03	105	1.0000	1.0190	1.0	1.0432	87	182654	8	53691	28	4933	
GCF_0006985551_SOAPdenovo_v105_genomic	6704301	63.01	105	1.0000	1.0190	1.0	1.0159	160	148078	13	34446	51	6258	
GCF_0006985751_SOAPdenovo_v105_genomic	7767215	62.66	105	1.0000	1.0190	1.0	1.0159	116	168886	13	44810	47	7272	
GCF_0006985951_SOAPdenovo_v105_genomic	8637375	64.4	105	1.0000	1.0286	1.0	1.0211	356	93471	30	18918	103	8015	
GCF_0007234051_HINTER_V1_genomic	5288135	68.39	105	1.0000	1.0286	1.0	1.0175	124	83222	19	22024	67	5097	
GCF_0007233851_PRJEB5746_assembly_1_genomic	6139893	65.73	104	0.9905	1.0481	0.9918	1.0872	5	1826359	2	907889	3	5815	
GCF_0007237251_XVIT_genomic	5105036	64.46	105	1.0000	1.0190	1.0	1.0151	50	306265	6	84038	20	4263	
GCF_0007240651_PRJEB1060_assembly_1_genomic	5536033	66.24	104	0.9905	1.0288	0.9998	1.039	10	1367718	2	287813	6	5285	
GCF_0007303051_G1_genomic	5427242	64.35	105	1.0000	1.0381	1.0	1.0596	3	5370749	1	5370749	1	4645	
GCF_0007321951_ASM73219v1_genomic	6343049	61.62	104	0.9905	1.0192	0.9998	1.0324	84	328448	7	69534	23	6102	
GCF_0007313151_RG540_Ch_pA_genomic	6455027	61.23	102	0.9714	1.0196	0.972	1.0229	2	4647962	1	1807065	2	6172	
GCF_0007326151_ASM73261v1_genomic	8633651	67.08	105	1.0000	1.0286	1.0	1.038	172	110286	24	35197	75	7604	
GCF_0007397351_ASM73973v1_genomic	6541887	63.6	105	1.0000	1.0190	1.0	1.0159	50	649517	4	85600	18	5809	
GCF_0007397751_ASM73977v1_genomic	8007470	64.6	105	1.0000	1.0286	1.0	1.028	110	161028	17	52400	50	7279	
GCF_0007397551_ASM73975v1_genomic	8762606	67.72	105	1.0000	1.0286	1.0	1.0414	185	97515	28	26046	88	7552	
GCF_0007397951_ASM73979v1_genomic	6795583	65.14	105	1.0000	1.0286	1.0	1.0414	89	194834	10	66643	30	6138	
GCF_0007398751_ASM73987v1_genomic	3732350	65.19	104	0.9905	1.0192	0.9907	1.0008	103	76620	14	22130	48	3432	
GCF_0007398151_ASM73981v1_genomic	8491217	63.88	105	1.0000	1.0476	1.0	1.0745	381	104090	23	13013	110	7862	
GCF_0007399351_ASM73993v1_genomic	5293384	57.29	103	0.9810	1.0000	0.9813	1.0	56	178389	10	60264	27	5000	
GCF_0007399951_ASM73999v1_genomic	3505986	68.54	105	1.0000	1.0095	1.0	1.0008	34	249089	5	51197	15	3199	
GCF_0007398351_ASM73983v1_genomic	9925782	61.95	105	1.0000	1.0476	1.0	1.0597	247	83156	35	21171	122	8958	
GCF_0007400351_ASM74003v1_genomic	5406468	61.48	105	1.0000	1.0381	1.0	1.0176	65	190498	9	59815	28	4900	
GCF_0007435351_ASM74353v1_genomic	2977056	68.74	105	1.0000	1.0000	1.0	1.0	51	159562	5	43323	19	2698	
GCF_0007434551_RPT_genomic	4765599	63.92	105	1.0000	1.0286	1.0	1.0327	1	4765599	1	4765599	1	4401	
GCF_0007470751_ASM74707v1_genomic	3114078	70.22	105	1.0000	1.0190	1.0	1.0319	221	29626	31	9386	104	3018	
GCF_0007471351_ASM74713v1_genomic	3093011	65.65	105	1.0000	1.0190	1.0	1.0152	45	441364	3	176875	8	2900	
GCF_0007471551_ASM74715v1_genomic	3056622	69.92	104	0.9905	1.0288	0.9884	1.0322	65	99300	9	28271	31	2802	
GCF_0007471751_ASM74717v1_genomic	3161214	70.74	104	0.9905	1.0000	0.9884	1.0	95	81415	13	30304	36	2862	
GCF_0007458551_ASM74585v1_genomic	6535173	69.73	103	0.9810	1.0388	0.9802	1.018	132	123864	14	22902	58	6312	
GCF_0007675651_ASM76756v1_genomic	2522328	51.79	105	1.0000	1.0000	1.0	1.0	16	500648	2	117211	6	2427	
GCF_0007596951_ASM75969v1_genomic	5302980	66.91	105	1.0000	1.0476	1.0	1.0144	453	53523	34	13032	108	5599	
GCF_0007683351_ASM76833v1_genomic	3085112	69.55	105	1.0000	1.0095	1.0	1.0167	98	101761	10	21863	37	2854	
GCF_0007676153_ASM76761v3_genomic	5389285	64.87	105	1.0000	1.0286	1.0	1.0159	1	5389285	1	5389285	1	4810	
GCF_0007683451_ASM76834v1_genomic	3032117	67.24	105	1.0000	1.0095	1.0	1.0151	26	386139	4	121566	9	2636	
GCF_0007560451_ASM75604v1_genomic	9702951	62.63	105	1.0000	1.1048	1.0	1.0458	3	4868129	1	1471816	3	8680	
GCF_0007699851_ASM76998v1_genomic	2691386	70.13	105	1.0000	1.0095	1.0	1.0193	472	15408	54	2885	220	2852	
GCF_0007683551_ASM76835v1_genomic	3275062	67.27	105	1.0000	1.0095	1.0	1.0151	90	101460	10	20616	35	2993	
GCF_0007707951_ASM77079v1_genomic	3274406	67.24	105	1.0000	1.0095	1.0	1.0151	25	207796	6	78633	15	3135	
GCF_0007703552_ASM77035v2_genomic	4960675	63.34	105	1.0000	1.0286	1.0	1.0361	2	4931460	1	4931460	1	4336	
GCF_0007727052_NCPPB2417v2_genomic	4923717	63.31	105	1.0000	1.0286	1.0	1.0361	96	125807	14	27098	45	4373	
GCF_0007740351_NCPPB3035v2_genomic	5225427	64.73	105	1.0000	1.0190	1.0	1.0151	190	59899	28	13074	90	4674	
GCF_0007880751_NCPPB381v2_genomic	4955361	64.89	105	1.0000	1.0190	1.0	1.0151	136	74010	21	23325	66	4285	
GCF_0007854352_ASM78543v2_genomic	7317626	64.01	105	1.0000	1.0381	1.0	1.0613	21	622569	4	167665	13	6546	
GCF_0008077752_ASM80777v2_genomic	5592065	62.82	105	1.0000	1.0190	1.0	1.0159	1	5592065	1	5592065	1	4890	
GCF_0008053851_ASM80538v1_genomic	6265049	66.42	105	1.0000	1.0286	1.0	1.0374	21	911020	3	329727	7	5952	
GCF_0008288951_ASM82889v1_genomic	2574013	66.04	105	1.0000	1.0095	1.0	1.0167	1	2574013	1	2574013	1	2354	
GCF_0008148452_ASM81484v2_genomic	5742997	62.77	105	1.0000	1.0286	1.0	1.0159	1	5742997	1	5742997	1	5044	
GCF_0008151052_ASM81510v2_genomic	5867621	64.3	105	1.0000	1.0190	1.0	1.0159	1	5867621	1	5867621	1	5035	
GCF_0008289151_ASM82891v1_genomic	2623236	66.07	105	1.0000	1.0095	1.0	1.0167	2	2606868	1	2606868	1	2384	
GCF_0008168451_ASM81684v1_genomic	7311190	59.61	105	1.0000	1.0286	1.0	1.0338	4	4133237	1	2466951	2	7068	
GCF_0009346052_ASM93460v2_genomic	5736282	63.52	105	1.0000	1.0190	1.0	1.0159	2	5636000	1	5636000	1	4967	
GCF_0009498651_ASM94986v1_genomic	5328872	59.12	105	1.0000	1.0000	1.0	1.0	79	219533	9	29240	29	5006	
GCF_0009593651_ASM95936v1_genomic	7135022	67.07	105	1.0000	1.0190	1.0	1.0159	2	4132035	1	3002987	2	6097	
GCF_0009594451_ASM95944v1_genomic	6930496	66.83	105	1.0000	1.0190	1.0	1.0159	4	2262093	2	1248367	3	6111	
GCF_0009595251_ASM95952v1_genomic	6322746	67.24	105	1.0000	1.0095	1.0	1.0008	3	3428264	1	2344193	2	5611	
GCF_0009595451_ASM95954v1_genomic	7528578	66.77	105	1.0000	1.0190	1.0	1.0159	4	2646970	2	1281472	3	6609	
GCF_0009609951_ASM96099v1_genomic	6820727	68.18	105	1.0000	1.0286	1.0	1.0159	4	3659771	1	2820414	2	5866	
GCF_0009645451_ASM96454v1_genomic	5244861	61.6	105	1.0000	1.0286	1.0	1.0009	43	370952	5	68711	17	4757	
GCF_0009597251_ASM95972v1_genomic	8899459	67.63	105	1.0000	1.0286	1.0	1.0414	5	4668573	1	3927513	2	7505	
GCF_0009615151_ASM96151v1_genomic	9058983	61.75	105	1.0000	1.0381	1.0	1.0213	4	3508455	2	650149	3	8179	
GCF_0009674251_ASM96742v1_genomic	4577425	61.85	105	1.0000	1.0286	1.0	1.0624	3	4239731	1	4239731	1	4453	
GCF_0009736251_ASM97362v1_genomic	2026292	45.16	105	1.0000	1.0000	1.0	1.0	1	2026292	1	2026292	1	2063	
GCF_0009703451_ASM97034v1_genomic	6203810	58.91	104	0.9905	1.0000	0.9884	1.0	272	155754	12	17110	53	5668	
GCF_0009718051_ASM97180v1_genomic	4898027	63.92	104	0.9905	1.0385	0.9918	1.0593	1	4898027	1	4898027	1	4774	
GCF_0009747051_ASM97470v1_genomic	4662053	66.77	104	0.9905	1.0288	0.9886	1.0573	1217	11826	106	2097	428	5536	
GCF_0009727853_ASM97278v3_genomic	6500731	63.08	105	1.0000	1.0286	1.0	1.0159	5	5630311	1	633357	2	5804	
GCF_0010052151_ASM100521v1_genomic	3158922	63.46	104	0.9905	1.0288	0.9918	1.0434	41	165853	8	47353	21	2840	
GCF_0010104151_ASM101041v1_genomic	4253478	64.7	60	0.5714	1.0167	0.7339	1.0206	345	66696	20	21467	63	3639	
GCF_0010134751_ASM101347v1_genomic	5084477	65.45	105	1.0000	1.0190	1.0	1.0151	8	1293571	2	384009	6	4277	
GCF_0009870751_ASM98707v1_genomic	9263236	65.89	105	1.0000	1.0190	1.0	1.0159	18	1108159	4	262138	10	8369	
GCF_0010177753_ASM101777v3_genomic	4464186	63.19	104	0.9905	1.0288	0.9918	1.0382	1	4464186	1	4464186	1	4116	
GCF_0010291053_ASM102910v3_genomic	5732664	63.45	105	1.0000	1.0286	1.0	1.0159	3	5241671	1	5241671	1	5115	
GCF_0010281751_ASM102817v1_genomic	9368249	60.1	105	1.0000	1.0476	1.0	1.0415	377	70828	44	18876	145	8872	
GCF_0010286651_ASM102866v1_genomic	7961346	66.46	105	1.0000	1.0190	1.0	1.0159	4	3214754	2	1049005	3	7057	
GCF_0010442351_ASM104423v1_genomic	7379520	68.42	104	0.9905	1.0769	0.9998	1.0903	72	438634	5	49638	30	7171	
GCF_0010442451_ASM104424v1_genomic	5710643	67.96	103	0.9810	1.0291	0.9683	1.0443	58	215061	9	68143	26	5474	
GCF_0010442551_ASM104425v1_genomic	5945009	69.19	105	1.0000	1.0190	1.0	1.0222	96	107199	14	34290	50	5764	
